Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"80-84 years"|"Male"|"2018"|189|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"80-84 years"|"Female"|"2018"|174|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"80-84 years"|"Male"|"2018"|519|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"80-84 years"|"Female"|"2018"|798|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"80-84 years"|"Female"|"2018"|15|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|66|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"80-84 years"|"Male"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"80-84 years"|"Female"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"80-84 years"|"Male"|"2018"|75|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"80-84 years"|"Female"|"2018"|99|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|12|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"80-84 years"|"Male"|"2018"|15|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"80-84 years"|"Female"|"2018"|18|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"80-84 years"|"Male"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"80-84 years"|"Female"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"80-84 years"|"Male"|"2018"|32934|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"80-84 years"|"Female"|"2018"|40863|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"80-84 years"|"Male"|"2018"|1203|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"80-84 years"|"Female"|"2018"|1677|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"80-84 years"|"Male"|"2018"|666|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"80-84 years"|"Female"|"2018"|1038|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"80-84 years"|"Male"|"2018"|2241|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"80-84 years"|"Female"|"2018"|2382|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Male"|"2018"|105|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Female"|"2018"|132|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"80-84 years"|"Male"|"2018"|189|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"80-84 years"|"Female"|"2018"|174|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"80-84 years"|"Male"|"2018"|519|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"80-84 years"|"Female"|"2018"|798|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"80-84 years"|"Female"|"2018"|15|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|66|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"80-84 years"|"Male"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"80-84 years"|"Female"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"80-84 years"|"Male"|"2018"|75|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"80-84 years"|"Female"|"2018"|99|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|12|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"80-84 years"|"Male"|"2018"|15|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"80-84 years"|"Female"|"2018"|18|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"80-84 years"|"Male"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"80-84 years"|"Female"|"2018"|6|
"Total - New Zealand by District Health Board"|"European only"|"80-84 years"|"Male"|"2018"|32934|
"Total - New Zealand by District Health Board"|"European only"|"80-84 years"|"Female"|"2018"|40863|
"Total - New Zealand by District Health Board"|"Maori only"|"80-84 years"|"Male"|"2018"|1203|
"Total - New Zealand by District Health Board"|"Maori only"|"80-84 years"|"Female"|"2018"|1677|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"80-84 years"|"Male"|"2018"|666|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"80-84 years"|"Female"|"2018"|1038|
"Total - New Zealand by District Health Board"|"Asian only"|"80-84 years"|"Male"|"2018"|2241|
"Total - New Zealand by District Health Board"|"Asian only"|"80-84 years"|"Female"|"2018"|2382|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Male"|"2018"|105|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"80-84 years"|"Female"|"2018"|132|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"80-84 years"|"Male"|"2018"|189|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"80-84 years"|"Female"|"2018"|174|
"Total - New Zealand by District Health Board"|"Maori/European"|"80-84 years"|"Male"|"2018"|519|
"Total - New Zealand by District Health Board"|"Maori/European"|"80-84 years"|"Female"|"2018"|798|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"80-84 years"|"Female"|"2018"|15|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|48|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|66|
"Total - New Zealand by District Health Board"|"Asian/European"|"80-84 years"|"Male"|"2018"|33|
"Total - New Zealand by District Health Board"|"Asian/European"|"80-84 years"|"Female"|"2018"|36|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"80-84 years"|"Male"|"2018"|75|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"80-84 years"|"Female"|"2018"|99|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"80-84 years"|"Male"|"2018"|3|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"80-84 years"|"Female"|"2018"|12|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"80-84 years"|"Male"|"2018"|15|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"80-84 years"|"Female"|"2018"|18|
"Total - New Zealand by District Health Board"|"Four to six groups"|"80-84 years"|"Male"|"2018"|9|
"Total - New Zealand by District Health Board"|"Four to six groups"|"80-84 years"|"Female"|"2018"|6|
"Total - New Zealand by Regional Council/SA2"|"European only"|"90 years and over"|"Male"|"2018"|9135|
"Total - New Zealand by Regional Council/SA2"|"European only"|"90 years and over"|"Female"|"2018"|19152|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"90 years and over"|"Male"|"2018"|138|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"90 years and over"|"Female"|"2018"|273|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"90 years and over"|"Male"|"2018"|72|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"90 years and over"|"Female"|"2018"|225|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"90 years and over"|"Male"|"2018"|285|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"90 years and over"|"Female"|"2018"|480|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Male"|"2018"|27|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Female"|"2018"|39|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"90 years and over"|"Male"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"90 years and over"|"Female"|"2018"|60|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"90 years and over"|"Male"|"2018"|75|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"90 years and over"|"Female"|"2018"|207|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"90 years and over"|"Female"|"2018"|0|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|18|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|45|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"90 years and over"|"Male"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"90 years and over"|"Female"|"2018"|24|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"90 years and over"|"Male"|"2018"|15|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"90 years and over"|"Female"|"2018"|30|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|6|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"90 years and over"|"Male"|"2018"|0|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"90 years and over"|"Male"|"2018"|9135|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"90 years and over"|"Female"|"2018"|19152|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"90 years and over"|"Male"|"2018"|138|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"90 years and over"|"Female"|"2018"|273|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"90 years and over"|"Male"|"2018"|72|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"90 years and over"|"Female"|"2018"|225|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"90 years and over"|"Male"|"2018"|285|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"90 years and over"|"Female"|"2018"|480|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Male"|"2018"|27|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Female"|"2018"|39|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"90 years and over"|"Male"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"90 years and over"|"Female"|"2018"|60|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"90 years and over"|"Male"|"2018"|75|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"90 years and over"|"Female"|"2018"|207|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"90 years and over"|"Female"|"2018"|0|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|18|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|45|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"90 years and over"|"Male"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"90 years and over"|"Female"|"2018"|24|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"90 years and over"|"Male"|"2018"|15|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"90 years and over"|"Female"|"2018"|30|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"90 years and over"|"Male"|"2018"|0|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by District Health Board"|"European only"|"90 years and over"|"Male"|"2018"|9135|
"Total - New Zealand by District Health Board"|"European only"|"90 years and over"|"Female"|"2018"|19152|
"Total - New Zealand by District Health Board"|"Maori only"|"90 years and over"|"Male"|"2018"|138|
"Total - New Zealand by District Health Board"|"Maori only"|"90 years and over"|"Female"|"2018"|273|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"90 years and over"|"Male"|"2018"|72|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"90 years and over"|"Female"|"2018"|225|
"Total - New Zealand by District Health Board"|"Asian only"|"90 years and over"|"Male"|"2018"|285|
"Total - New Zealand by District Health Board"|"Asian only"|"90 years and over"|"Female"|"2018"|480|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Male"|"2018"|27|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"90 years and over"|"Female"|"2018"|39|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"90 years and over"|"Male"|"2018"|33|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"90 years and over"|"Female"|"2018"|60|
"Total - New Zealand by District Health Board"|"Maori/European"|"90 years and over"|"Male"|"2018"|75|
"Total - New Zealand by District Health Board"|"Maori/European"|"90 years and over"|"Female"|"2018"|207|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"90 years and over"|"Female"|"2018"|0|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|18|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|45|
"Total - New Zealand by District Health Board"|"Asian/European"|"90 years and over"|"Male"|"2018"|9|
"Total - New Zealand by District Health Board"|"Asian/European"|"90 years and over"|"Female"|"2018"|24|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"90 years and over"|"Male"|"2018"|15|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"90 years and over"|"Female"|"2018"|30|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"90 years and over"|"Male"|"2018"|6|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"90 years and over"|"Male"|"2018"|3|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by District Health Board"|"Four to six groups"|"90 years and over"|"Male"|"2018"|0|
"Total - New Zealand by District Health Board"|"Four to six groups"|"90 years and over"|"Female"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Female"|"2018"|177|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"75-79 years"|"Male"|"2018"|432|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"75-79 years"|"Female"|"2018"|393|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"75-79 years"|"Male"|"2018"|1104|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"75-79 years"|"Female"|"2018"|1413|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"75-79 years"|"Male"|"2018"|24|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"75-79 years"|"Female"|"2018"|24|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|84|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|135|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"75-79 years"|"Male"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"75-79 years"|"Female"|"2018"|57|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"75-79 years"|"Male"|"2018"|129|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"75-79 years"|"Female"|"2018"|144|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|12|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"75-79 years"|"Male"|"2018"|27|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"75-79 years"|"Female"|"2018"|27|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"75-79 years"|"Female"|"2018"|6|
"Total - New Zealand by District Health Board"|"European only"|"75-79 years"|"Male"|"2018"|52677|
"Total - New Zealand by District Health Board"|"European only"|"75-79 years"|"Female"|"2018"|59607|
"Total - New Zealand by District Health Board"|"Maori only"|"75-79 years"|"Male"|"2018"|2574|
"Total - New Zealand by District Health Board"|"Maori only"|"75-79 years"|"Female"|"2018"|2949|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"75-79 years"|"Male"|"2018"|1407|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"75-79 years"|"Female"|"2018"|1737|
"Total - New Zealand by District Health Board"|"Asian only"|"75-79 years"|"Male"|"2018"|3420|
"Total - New Zealand by District Health Board"|"Asian only"|"75-79 years"|"Female"|"2018"|4002|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Male"|"2018"|174|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"75-79 years"|"Female"|"2018"|177|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"75-79 years"|"Male"|"2018"|432|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"75-79 years"|"Female"|"2018"|393|
"Total - New Zealand by District Health Board"|"Maori/European"|"75-79 years"|"Male"|"2018"|1104|
"Total - New Zealand by District Health Board"|"Maori/European"|"75-79 years"|"Female"|"2018"|1413|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"75-79 years"|"Male"|"2018"|24|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"75-79 years"|"Female"|"2018"|24|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|84|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|135|
"Total - New Zealand by District Health Board"|"Asian/European"|"75-79 years"|"Male"|"2018"|36|
"Total - New Zealand by District Health Board"|"Asian/European"|"75-79 years"|"Female"|"2018"|57|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"75-79 years"|"Male"|"2018"|129|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"75-79 years"|"Female"|"2018"|144|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"75-79 years"|"Female"|"2018"|12|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"75-79 years"|"Male"|"2018"|27|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"75-79 years"|"Female"|"2018"|27|
"Total - New Zealand by District Health Board"|"Four to six groups"|"75-79 years"|"Male"|"2018"|9|
"Total - New Zealand by District Health Board"|"Four to six groups"|"75-79 years"|"Female"|"2018"|6|
"Total - New Zealand by Regional Council/SA2"|"European only"|"85-89 years"|"Male"|"2018"|19875|
"Total - New Zealand by Regional Council/SA2"|"European only"|"85-89 years"|"Female"|"2018"|28902|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"85-89 years"|"Male"|"2018"|435|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"85-89 years"|"Female"|"2018"|792|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"85-89 years"|"Male"|"2018"|264|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"85-89 years"|"Female"|"2018"|528|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"85-89 years"|"Male"|"2018"|867|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"85-89 years"|"Female"|"2018"|1077|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Male"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Female"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"85-89 years"|"Male"|"2018"|81|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"85-89 years"|"Female"|"2018"|123|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"85-89 years"|"Male"|"2018"|255|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"85-89 years"|"Female"|"2018"|426|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"85-89 years"|"Male"|"2018"|0|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"85-89 years"|"Female"|"2018"|6|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|42|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"85-89 years"|"Male"|"2018"|15|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"85-89 years"|"Female"|"2018"|21|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"85-89 years"|"Male"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"85-89 years"|"Female"|"2018"|60|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|9|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"85-89 years"|"Male"|"2018"|6|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"85-89 years"|"Female"|"2018"|12|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"85-89 years"|"Male"|"2018"|3|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"85-89 years"|"Female"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"85-89 years"|"Male"|"2018"|19875|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"85-89 years"|"Female"|"2018"|28902|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"85-89 years"|"Male"|"2018"|435|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"85-89 years"|"Female"|"2018"|792|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"85-89 years"|"Male"|"2018"|264|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"85-89 years"|"Female"|"2018"|528|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"85-89 years"|"Male"|"2018"|867|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"85-89 years"|"Female"|"2018"|1077|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Male"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Female"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"85-89 years"|"Male"|"2018"|81|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"85-89 years"|"Female"|"2018"|123|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"85-89 years"|"Male"|"2018"|255|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"85-89 years"|"Female"|"2018"|426|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"85-89 years"|"Male"|"2018"|0|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"85-89 years"|"Female"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|42|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"85-89 years"|"Male"|"2018"|15|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"85-89 years"|"Female"|"2018"|21|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"85-89 years"|"Male"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"85-89 years"|"Female"|"2018"|60|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|9|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"85-89 years"|"Male"|"2018"|6|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"85-89 years"|"Female"|"2018"|12|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"85-89 years"|"Male"|"2018"|3|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"85-89 years"|"Female"|"2018"|6|
"Total - New Zealand by District Health Board"|"European only"|"85-89 years"|"Male"|"2018"|19875|
"Total - New Zealand by District Health Board"|"European only"|"85-89 years"|"Female"|"2018"|28902|
