Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Waitakere Ranges Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1218|
"Waitakere Ranges Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1197|
"Waitakere Ranges Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|162|
"Waitakere Ranges Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|141|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|15|
"Great Barrier Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|24|
"Great Barrier Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|21|
"Great Barrier Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"||c
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|78|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|117|
"Waiheke Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|255|
"Waiheke Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|222|
"Waiheke Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|36|
"Waiheke Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|39|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|954|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1005|
"Waitemata Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1398|
"Waitemata Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1338|
"Waitemata Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|135|
"Waitemata Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|120|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1404|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1590|
"Whau Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|963|
"Whau Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|888|
"Whau Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|129|
"Whau Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|114|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1005|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1221|
"Puketapapa Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|552|
"Puketapapa Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|537|
"Puketapapa Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|78|
"Puketapapa Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|102|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1332|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1818|
"Orakei Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|1509|
"Orakei Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|1491|
"Orakei Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|153|
"Orakei Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|180|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|2535|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|3144|
"Howick Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|2082|
"Howick Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|2130|
"Howick Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|276|
"Howick Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|264|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1686|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1851|
"Mangere-Otahuhu Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|510|
"Mangere-Otahuhu Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|417|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|135|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|129|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1917|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1986|
"Manurewa Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|798|
"Manurewa Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|759|
"Manurewa Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|174|
"Manurewa Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|180|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|900|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1017|
"Papakura Local Board Area"|"No religion"|"45-49 years"|"Male"|"2018"|717|
"Papakura Local Board Area"|"No religion"|"45-49 years"|"Female"|"2018"|687|
"Papakura Local Board Area"|"Object to answering"|"45-49 years"|"Male"|"2018"|123|
"Papakura Local Board Area"|"Object to answering"|"45-49 years"|"Female"|"2018"|120|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|207|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|291|
"Thames-Coromandel District"|"No religion"|"45-49 years"|"Male"|"2018"|558|
"Thames-Coromandel District"|"No religion"|"45-49 years"|"Female"|"2018"|573|
"Thames-Coromandel District"|"Object to answering"|"45-49 years"|"Male"|"2018"|66|
"Thames-Coromandel District"|"Object to answering"|"45-49 years"|"Female"|"2018"|75|
"Hauraki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|174|
"Hauraki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|231|
"Hauraki District"|"No religion"|"45-49 years"|"Male"|"2018"|405|
"Hauraki District"|"No religion"|"45-49 years"|"Female"|"2018"|360|
"Hauraki District"|"Object to answering"|"45-49 years"|"Male"|"2018"|54|
"Hauraki District"|"Object to answering"|"45-49 years"|"Female"|"2018"|75|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|363|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|447|
"Matamata-Piako District"|"No religion"|"45-49 years"|"Male"|"2018"|579|
"Matamata-Piako District"|"No religion"|"45-49 years"|"Female"|"2018"|573|
"Matamata-Piako District"|"Object to answering"|"45-49 years"|"Male"|"2018"|90|
"Matamata-Piako District"|"Object to answering"|"45-49 years"|"Female"|"2018"|87|
"Hamilton City"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|2217|
"Hamilton City"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|2640|
"Hamilton City"|"No religion"|"45-49 years"|"Male"|"2018"|2283|
"Hamilton City"|"No religion"|"45-49 years"|"Female"|"2018"|2187|
"Hamilton City"|"Object to answering"|"45-49 years"|"Male"|"2018"|327|
"Hamilton City"|"Object to answering"|"45-49 years"|"Female"|"2018"|303|
"Waipa District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|663|
"Waipa District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|840|
"Waipa District"|"No religion"|"45-49 years"|"Male"|"2018"|1005|
"Waipa District"|"No religion"|"45-49 years"|"Female"|"2018"|1065|
"Waipa District"|"Object to answering"|"45-49 years"|"Male"|"2018"|144|
"Waipa District"|"Object to answering"|"45-49 years"|"Female"|"2018"|144|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|126|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|123|
"Otorohanga District"|"No religion"|"45-49 years"|"Male"|"2018"|180|
"Otorohanga District"|"No religion"|"45-49 years"|"Female"|"2018"|171|
"Otorohanga District"|"Object to answering"|"45-49 years"|"Male"|"2018"|27|
"Otorohanga District"|"Object to answering"|"45-49 years"|"Female"|"2018"|21|
"South Waikato District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|285|
"South Waikato District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|336|
"South Waikato District"|"No religion"|"45-49 years"|"Male"|"2018"|390|
"South Waikato District"|"No religion"|"45-49 years"|"Female"|"2018"|384|
"South Waikato District"|"Object to answering"|"45-49 years"|"Male"|"2018"|81|
"South Waikato District"|"Object to answering"|"45-49 years"|"Female"|"2018"|78|
"Waitomo District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|99|
"Waitomo District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|120|
"Waitomo District"|"No religion"|"45-49 years"|"Male"|"2018"|159|
"Waitomo District"|"No religion"|"45-49 years"|"Female"|"2018"|156|
"Waitomo District"|"Object to answering"|"45-49 years"|"Male"|"2018"|24|
"Waitomo District"|"Object to answering"|"45-49 years"|"Female"|"2018"|27|
"Taupo District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|441|
"Taupo District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|516|
"Taupo District"|"No religion"|"45-49 years"|"Male"|"2018"|708|
"Taupo District"|"No religion"|"45-49 years"|"Female"|"2018"|678|
"Taupo District"|"Object to answering"|"45-49 years"|"Male"|"2018"|96|
"Taupo District"|"Object to answering"|"45-49 years"|"Female"|"2018"|78|
"Tauranga City"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1626|
"Tauranga City"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1908|
"Tauranga City"|"No religion"|"45-49 years"|"Male"|"2018"|2466|
"Tauranga City"|"No religion"|"45-49 years"|"Female"|"2018"|2565|
"Tauranga City"|"Object to answering"|"45-49 years"|"Male"|"2018"|273|
"Tauranga City"|"Object to answering"|"45-49 years"|"Female"|"2018"|321|
"Rotorua District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|903|
"Rotorua District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1152|
"Rotorua District"|"No religion"|"45-49 years"|"Male"|"2018"|1239|
"Rotorua District"|"No religion"|"45-49 years"|"Female"|"2018"|1176|
"Rotorua District"|"Object to answering"|"45-49 years"|"Male"|"2018"|183|
"Rotorua District"|"Object to answering"|"45-49 years"|"Female"|"2018"|168|
"Kawerau District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|63|
"Kawerau District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|99|
"Kawerau District"|"No religion"|"45-49 years"|"Male"|"2018"|96|
"Kawerau District"|"No religion"|"45-49 years"|"Female"|"2018"|93|
"Kawerau District"|"Object to answering"|"45-49 years"|"Male"|"2018"|21|
"Kawerau District"|"Object to answering"|"45-49 years"|"Female"|"2018"|24|
"Opotiki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|135|
"Opotiki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|159|
"Opotiki District"|"No religion"|"45-49 years"|"Male"|"2018"|129|
"Opotiki District"|"No religion"|"45-49 years"|"Female"|"2018"|120|
"Opotiki District"|"Object to answering"|"45-49 years"|"Male"|"2018"|24|
"Opotiki District"|"Object to answering"|"45-49 years"|"Female"|"2018"|24|
"Wairoa District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|129|
"Wairoa District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|177|
"Wairoa District"|"No religion"|"45-49 years"|"Male"|"2018"|84|
"Wairoa District"|"No religion"|"45-49 years"|"Female"|"2018"|66|
"Wairoa District"|"Object to answering"|"45-49 years"|"Male"|"2018"|18|
"Wairoa District"|"Object to answering"|"45-49 years"|"Female"|"2018"|18|
"Hastings District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|1095|
"Hastings District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1446|
"Hastings District"|"No religion"|"45-49 years"|"Male"|"2018"|1365|
"Hastings District"|"No religion"|"45-49 years"|"Female"|"2018"|1290|
"Hastings District"|"Object to answering"|"45-49 years"|"Male"|"2018"|186|
"Hastings District"|"Object to answering"|"45-49 years"|"Female"|"2018"|189|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|159|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|222|
"Central Hawke's Bay District"|"No religion"|"45-49 years"|"Male"|"2018"|261|
"Central Hawke's Bay District"|"No religion"|"45-49 years"|"Female"|"2018"|255|
"Central Hawke's Bay District"|"Object to answering"|"45-49 years"|"Male"|"2018"|33|
"Central Hawke's Bay District"|"Object to answering"|"45-49 years"|"Female"|"2018"|30|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|873|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|1173|
"New Plymouth District"|"No religion"|"45-49 years"|"Male"|"2018"|1587|
"New Plymouth District"|"No religion"|"45-49 years"|"Female"|"2018"|1455|
"New Plymouth District"|"Object to answering"|"45-49 years"|"Male"|"2018"|198|
"New Plymouth District"|"Object to answering"|"45-49 years"|"Female"|"2018"|213|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|372|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Female"|"2018"|447|
"South Taranaki District"|"No religion"|"45-49 years"|"Male"|"2018"|471|
"South Taranaki District"|"No religion"|"45-49 years"|"Female"|"2018"|429|
"South Taranaki District"|"Object to answering"|"45-49 years"|"Male"|"2018"|87|
"South Taranaki District"|"Object to answering"|"45-49 years"|"Female"|"2018"|84|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"45-49 years"|"Male"|"2018"|156|
